cafe_id,kakao_name,naver_name,address,latitude,longitude,study_sentiment_score,rating_score,distance_score,raw_final_score,review_confidence,adjusted_final_score,recommend_label,grade,rating,review_count,business_hours,straight_distance_m,study_mention_count,kakao_place_url,naver_map_url,가격대_score,공부 적합성_score,영업시간_score,조용함_score,좌석_score,체류 적합성_score,콘센트_score,혼잡도_score,와이파이_score,is_excluded_type,distance_penalty,presentation_score,presentation_grade,presentation_recommend_label
C039,투썸플레이스 용인역북점,투썸플레이스 용인역북점,경기 용인시 처인구 명지로60번길 8-10,37.2315464989315,127.18798058452845,50.0,88.2,85,59.07,1.0,59.07,0,보통,4.41,1338.0,09:00 ~ 23:00,310,1,http://place.map.kakao.com/401310784,https://map.naver.com/p/entry/place/1042222117,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,3,56.07,보통,0
C026,클라드커피,클라드커피,경기 용인시 처인구 명지로 15-4,37.2344358858158,127.189279203583,50.0,60.0,100,58.5,1.0,58.5,0,보통,0.0,118.0,11:00 ~ 20:00,212,4,http://place.map.kakao.com/1239243025,https://map.naver.com/p/entry/place/1299081119,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,58.5,보통,0
C013,요거트월드 역북점,요거트월드 역북점,경기 용인시 처인구 명지로40번길 16,37.232823919623,127.187007867661,50.0,60.0,100,58.5,1.0,58.5,0,보통,0.0,63.0,11:00 ~ 01:00,153,1,http://place.map.kakao.com/131712545,https://map.naver.com/p/entry/place/1787771281,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,58.5,보통,0
C035,하이오커피 용인역북점,하이오커피 용인역북점,경기 용인시 처인구 명지로60번길 8-10,37.23156768935887,127.18768652326754,50.0,60.0,85,56.25,1.0,56.25,0,보통,0.0,286.0,08:00 ~ 23:00,301,1,http://place.map.kakao.com/83644267,https://map.naver.com/p/entry/place/1161417048,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,3,53.25,보통,0
C040,욤카페 역북점,욤카페 역북점,경기 용인시 처인구 명지로40번길 15-15,37.2312916983992,127.186717858743,50.0,60.0,85,56.25,1.0,56.25,0,보통,0.0,87.0,,324,1,http://place.map.kakao.com/986596721,https://map.naver.com/p/entry/place/1442164514,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,3,53.25,보통,0
C070,유베이크샵,유베이크샵,경기 용인시 처인구 용문로 30-5,37.2376635065407,127.189230925051,50.0,60.0,85,56.25,1.0,56.25,0,보통,0.0,305.0,11:00 ~ 18:30,437,0,http://place.map.kakao.com/185940710,https://map.naver.com/p/entry/place/1700132111,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,3,53.25,보통,0
C066,카페586,카페586,경기 용인시 처인구 지삼로 586,37.240676095967935,127.16550365043936,50.0,94.2,45,53.67,1.0,53.67,0,보통,4.71,130.0,11:00 ~ 20:00,2026,0,http://place.map.kakao.com/2137037027,https://map.naver.com/p/entry/place/1688125276,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,41.67,비추천,0
C064,궁촌커피로스터즈,궁촌커피로스터즈,경기 용인시 처인구 지삼로590번길 10,37.24004234374769,127.16637343544916,50.0,90.4,45,53.29,1.0,53.29,0,보통,4.52,288.0,09:00 ~ 19:00,1930,0,http://place.map.kakao.com/5283314,https://map.naver.com/p/entry/place/1210281462,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,41.29,비추천,0
C047,도노커피 용인시청점,도노커피 용인시청점,경기 용인시 처인구 중부대로 1199,37.24101944716104,127.1778959202865,50.0,60.0,65,53.25,1.0,53.25,0,보통,0.0,282.0,08:30 ~ 17:30,1100,1,http://place.map.kakao.com/735180,https://map.naver.com/p/entry/place/1071564020,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,7,46.25,비추천,0
C072,카페라딘,카페라딘,경기 용인시 처인구 지삼로 563,37.2407329949409,127.163461632971,50.0,89.4,45,53.19,1.0,53.19,0,보통,4.47,602.0,10:00 ~ 21:00,2198,1,http://place.map.kakao.com/922202387,https://map.naver.com/p/entry/place/1220325968,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,41.19,비추천,0
